pplid	pplxid
2660971	6294254
2660971	6294253
2660971	6294252
2660971	6294251
2660971	6294249
2660971	6294244
2660971	6294243
2660971	6294242
2660971	6294241
2660971	6294238
2660971	6294237
2660971	6294236
2659219	6294004
2659219	2660247
2659219	6293977
2660269	2658249
2660269	2659373
6295526	6293921
6293909	6293906
6293910	6293905
6293910	6293904
6295217	2659024
2657900	6293704
2658276	6293665
2658276	6293664
2658276	6293662
2658276	6293661
2658276	6293660
2658276	6293659
2658276	6293658
2658276	6293657
2658276	6293655
2658276	6293654
2658276	6293653
2658276	6293652
6295549	6293467
6295549	6293465
6295549	6293464
6295549	6293463
6295549	6293462
6295549	6293461
6295549	6293459
2659703	6293457
6293575	6293581
2659772	6293559
2659772	6293558
2659772	6293557
6293594	6293556
6293594	6293555
2659772	6293554
6293585	6293553
2659772	6293552
6293585	6293551
6293585	6293550
6293575	6293548
2659703	6293456
2659703	6293455
2659703	6293454
6295549	6293453
6295549	6293452
2659703	6293449
2659703	6293446
2659703	6293445
2659703	6293444
2659703	6293443
2659703	6293442
2659703	6293440
2659703	6293439
2659703	6293438
2659703	6293437
2659703	6293436
2659703	6293434
2659703	6293433
2659703	6293432
2659703	6293431
2659703	6293430
2659703	6293429
2659703	6293428
2659703	6293427
6291508	6291499
6291495	6291496
6291491	6291489
6291491	6291488
6291491	6291487
6291664	6291473
6291491	6291472
6291491	6291471
6291491	2661347
6291495	6291470
2658060	6291376
2658060	6291375
2658060	6291374
2658060	6291373
6291730	6291338
6291730	6291337
6291334	6291336
2659292	6291333
6295533	6291332
6295533	6291331
2659380	6291324
2660127	6291254
2660127	6291253
2660127	6291252
6291335	6291251
2660127	6291250
2660127	6291249
2660127	6291248
2660127	6291247
2660127	6291246
2660127	6291244
6291256	6291243
2660127	6291242
2660913	6291168
2660913	6291167
2660913	6291166
2660913	6291139
2660913	6291138
2660913	6291137
2660913	6291136
2660913	6291135
6291170	6291134
2660934	6291133
2660934	6291132
6295527	6291111
6295527	6291110
6295527	6291108
6291117	6291107
2660934	6291106
2660934	6291105
6291117	6291104
2661361	6291103
2661361	6291102
2661361	2661014
2661338	6291061
2661338	6291060
2661338	6291059
2661338	6291058
2661338	6291057
2661338	6291056
2661338	6291055
2661338	6291054
2661338	6291053
2661338	6291052
6290417	6290401
6290415	6290400
6290415	2660400
2659753	6290840
2659753	6290839
2659753	6290838
2659753	6290837
2659753	6290836
2659753	6290835
2658271	6290825
2658271	6290824
2658271	6290823
2658271	6290822
2658271	6290821
2658271	6290820
2658271	6290819
6295534	6295513
6295534	6295512
6295542	6295511
6295542	6295510
6295542	6295509
6293730	2657969
6295542	6295508
2657896	6295507
6295548	6295506
6295550	6295505
6295550	6295504
6295521	6295503
6295521	6295502
6295521	6295501
6295521	6295500
2657896	6295499
2659703	6293426
2659703	6293425
2659703	6293423
2659703	6293421
2659703	6293420
2660805	6293418
2660805	6293417
2660805	6293416
2660805	6293406
2660805	6293405
2660805	6293404
2660805	6293403
2660805	6293402
2660805	6293401
2660805	6293400
2660805	6293398
2660805	6293397
2660805	6293396
2660805	6293394
2660805	6293393
2660805	6293392
2660805	6293391
6295429	2661015
6295530	6294437
2660971	6294294
2660971	6294293
2660971	6294292
2660971	6294291
2659317	6290554
2659317	6290553
6295051	6295045
2659317	6290552
2658082	6293106
2658082	6293105
2658082	6293104
2658082	6293103
2658082	6293102
2658082	6293101
2658082	6293100
2658082	6293099
2658082	6293098
6292810	6293097
2658082	6293096
2658388	6293083
2658388	6293082
2658388	6293081
2658388	6293080
6295281	6290659
6295281	6290658
6295281	6290657
6295281	6290656
6290379	6290655
6295532	6252010
2658919	6293004
2658919	6293002
2658919	6293001
2658919	6293000
2658919	6292999
2658919	6292998
2658919	6292997
2658919	6292996
2658919	6292995
2658919	6292994
2658919	6292993
2658919	6292992
2658919	6292991
2658919	6292990
2658919	6292989
2658919	6292988
2658919	6292987
2658919	6292986
